Home \ Away,ARS,AVL,BOU,BRE,BHA,CHE,CRY,EVE,FUL,IPS,LEI,LIV,MCI,MUN,NEW,NFO,SOU,TOT,WHU,WOL
Arsenal,—,2–2,1–2,1–1,1–1,1–0,2–2,0–0,2–1,1–0,4–2,2–2,5–1,2–0,1–0,3–0,3–1,2–1,0–1,2–0
Aston Villa,0–2,—,1–1,3–1,2–2,2–1,2–2,3–2,1–0,1–1,2–1,2–2,2–1,0–0,4–1,2–1,1–0,2–0,1–1,3–1
Bournemouth,2–0,0–1,—,1–2,1–2,0–1,0–0,1–0,1–0,1–2,2–0,0–2,2–1,1–1,1–1,5–0,3–1,1–0,1–1,0–1
Brentford,1–3,0–1,3–2,—,4–2,0–0,2–1,1–1,2–3,4–3,4–1,0–2,2–2,4–3,4–2,0–2,3–1,0–2,1–1,5–3
Brighton & Hove Albion,1–1,0–3,2–1,0–0,—,3–0,1–3,0–1,2–1,0–0,2–2,3–2,2–1,2–1,1–1,2–2,1–1,3–2,3–2,2–2
Chelsea,1–1,3–0,2–2,2–1,4–2,—,1–1,1–0,1–2,2–2,1–0,3–1,0–2,1–0,2–1,1–1,4–0,1–0,2–1,3–1
Crystal Palace,1–5,4–1,0–0,1–2,2–1,1–1,—,1–2,0–2,1–0,2–2,0–1,2–2,0–0,1–1,1–1,2–1,1–0,0–2,4–2
Everton,1–1,0–1,2–3,0–0,0–3,0–0,2–1,—,1–1,2–2,4–0,2–2,0–2,2–2,0–0,0–2,2–0,3–2,1–1,4–0
Fulham,1–1,1–3,2–2,2–1,3–1,1–2,0–2,1–3,—,2–2,2–1,3–2,0–2,0–1,3–1,2–1,0–0,2–0,1–1,1–4
Ipswich Town,0–4,2–2,1–2,0–1,0–2,2–0,0–1,0–2,1–1,—,1–1,0–2,0–6,1–1,0–4,2–4,1–2,1–4,1–3,1–2
Leicester City,0–2,1–2,1–0,0–4,2–2,1–2,0–2,1–1,0–2,2–0,—,0–1,0–2,0–3,0–3,1–3,2–0,1–1,3–1,0–3
Liverpool,2–2,2–0,3–0,2–0,2–1,2–1,1–1,1–0,2–2,4–1,3–1,—,2–0,2–2,2–0,0–1,3–1,5–1,2–1,2–1
Manchester City,2–2,2–1,3–1,2–1,2–2,3–1,5–2,1–1,3–2,4–1,2–0,0–2,—,1–2,4–0,3–0,1–0,0–4,4–1,1–0
Manchester United,1–1,2–0,0–3,2–1,1–3,1–1,0–2,4–0,1–0,3–2,3–0,0–3,0–0,—,0–2,2–3,3–1,0–3,0–2,0–1
Newcastle United,1–0,3–0,1–4,2–1,0–1,2–0,5–0,0–1,1–2,3–0,4–0,3–3,1–1,4–1,—,4–3,1–0,2–1,0–2,3–0
Nottingham Forest,0–0,2–1,1–1,0–2,7–0,0–1,1–0,0–1,0–1,1–0,2–2,1–1,1–0,1–0,1–3,—,3–2,1–0,3–0,1–1
Southampton,1–2,0–3,1–3,0–5,0–4,1–5,1–1,1–0,1–2,1–1,2–3,2–3,0–0,0–3,1–3,0–1,—,0–5,0–1,1–2
Tottenham Hotspur,0–1,4–1,2–2,3–1,1–4,3–4,0–2,4–0,1–1,1–2,1–2,3–6,0–1,1–0,1–2,1–2,3–1,—,4–1,2–2
West Ham United,2–5,1–2,2–2,0–1,1–1,0–3,0–2,0–0,3–2,4–1,2–0,0–5,1–3,2–1,0–1,1–2,1–1,1–1,—,2–1
Wolverhampton Wanderers,0–1,2–0,2–4,1–1,0–2,2–6,2–2,1–1,1–2,1–2,3–0,1–2,1–2,2–0,1–2,0–3,2–0,4–2,1–0,—
