,Eastern,W,L,Pct,GB,Home,Div,Conf,Last 10,PF,PA,Diff,Streak,Odds
0,1Detroit,50.0,19.0,0.725,0.0,25-8,10-4,34-11,5-5,117.4,109.7,7.7,W-2,+2500
1,2Boston,46.0,23.0,0.667,4.0,24-10,9-5,29-14,7-3,114.4,107.0,7.4,W-3,+600
2,3New York,45.0,25.0,0.643,5.5,25-9,11-3,29-15,7-3,117.1,110.6,6.5,W-4,+1400
3,4Cleveland,43.0,27.0,0.614,7.5,22-13,10-5,28-17,6-4,119.1,114.8,4.3,W-2,+1200
4,5Toronto,39.0,29.0,0.574,10.5,19-16,4-10,29-16,5-5,114.0,111.8,2.2,W-3,+30000
5,6Atlanta,38.0,31.0,0.551,12.0,19-16,8-6,22-21,10-0,118.1,116.6,1.5,W-11,+75000
6,,,,,,,,,,,,,,
7,7Orlando,38.0,31.0,0.551,12.0,21-12,9-7,24-21,7-3,115.5,114.4,1.1,L-3,+20000
8,8Miami,38.0,32.0,0.543,12.5,23-13,7-7,22-20,7-3,120.3,117.1,3.2,L-3,+20000
9,9Philadelphia,38.0,32.0,0.543,12.5,20-16,9-7,22-23,5-5,115.6,116.1,-0.5,W-1,+15000
10,10Charlotte,36.0,34.0,0.514,14.5,16-17,11-5,22-22,7-3,116.0,112.2,3.8,W-2,+12500
11,,,,,,,,,,,,,,
12,Milwaukee,28.0,41.0,0.406,22.0,16-19,9-6,20-27,2-8,111.0,116.4,-5.4,L-2,+100000
13,Chicago,28.0,42.0,0.4,22.5,17-20,4-11,17-28,4-6,115.8,120.2,-4.4,L-2,+100000
14,Brooklyn,17.0,52.0,0.246,33.0,9-25,3-11,12-31,2-8,106.4,115.7,-9.3,L-5,-
15,Washington,16.0,53.0,0.232,34.0,11-25,2-12,11-33,0-10,112.5,123.7,-11.2,L-14,-
16,Indiana,15.0,55.0,0.214,35.5,10-25,3-10,11-33,0-10,111.3,120.2,-8.9,L-15,-
