,Western,W,L,Pct,GB,Home,Div,Conf,Last 10,PF,PA,Diff,Streak,Odds
0,1Oklahoma City - y,55.0,15.0,0.786,0.0,29-6,11-3,37-9,10-0,118.5,107.5,11.0,W-10,+130
1,2San Antonio - x,52.0,18.0,0.743,3.0,27-7,11-3,31-14,9-1,118.8,111.6,7.2,W-4,+600
2,3LA Lakers,45.0,25.0,0.643,10.0,23-12,8-7,30-16,9-1,116.6,115.1,1.5,W-8,+4000
3,4Minnesota,43.0,27.0,0.614,12.0,24-12,9-6,27-20,6-4,118.8,114.9,3.9,W-2,+5000
4,5Houston,41.0,27.0,0.603,13.0,23-10,7-6,23-21,4-6,113.8,110.0,3.8,L-2,+6600
5,6Denver,42.0,28.0,0.6,13.0,19-13,6-5,25-16,5-5,120.7,116.5,4.2,L-1,+1000
6,,,,,,,,,,,,,,
7,7Phoenix,39.0,31.0,0.557,16.0,22-13,10-6,25-20,5-5,112.2,111.2,1.0,L-4,+30000
8,8LA Clippers,34.0,36.0,0.486,21.0,19-15,8-6,21-23,5-5,113.2,112.7,0.5,L-4,+40000
9,9Portland,34.0,36.0,0.486,21.0,18-16,6-7,24-19,5-5,115.2,117.3,-2.1,W-2,+100000
10,10Golden State,33.0,36.0,0.478,21.5,19-15,6-6,22-22,2-8,115.0,114.5,0.5,L-1,+25000
11,,,,,,,,,,,,,,
12,Memphis,24.0,44.0,0.353,30.0,12-20,6-7,19-27,2-8,115.7,118.6,-2.9,W-1,+100000
13,New Orleans,25.0,46.0,0.352,30.5,16-21,7-8,16-30,6-4,115.6,119.3,-3.7,W-3,+100000
14,Dallas,23.0,47.0,0.329,32.0,14-21,4-11,12-30,2-8,113.3,118.5,-5.2,L-2,+100000
15,Utah,21.0,49.0,0.3,34.0,13-22,1-12,11-33,3-7,117.3,124.8,-7.5,W-1,-
16,Sacramento,18.0,53.0,0.254,37.5,12-25,3-10,12-35,4-6,110.8,121.0,-10.2,L-2,-
