Month,1 EUR = X USD,1 GBP = X USD,1 USD = X SF
1/1/2021,1.2178,1.3641,0.8865
2/1/2021,1.2094,1.3867,0.8979
3/1/2021,1.1902,1.3863,0.9298
4/1/2021,1.1965,1.3845,0.9218
5/1/2021,1.2146,1.4084,0.9027
6/1/2021,1.2048,1.4025,0.9078
7/1/2021,1.1821,1.3808,0.9174
8/1/2021,1.1767,1.3797,0.9147
9/1/2021,1.1765,1.3732,0.9228
10/1/2021,1.16,1.3701,0.9227
11/1/2021,1.1416,1.3463,0.9213
12/1/2021,1.1301,1.3303,0.921
1/1/2022,1.1317,1.3555,0.9191
2/1/2022,1.1349,1.354,0.9228
3/1/2022,1.1019,1.3168,0.9294
4/1/2022,1.0803,1.2933,0.945
5/1/2022,1.0567,1.2438,0.9804
6/1/2022,1.0567,1.232,0.9702
7/1/2022,1.0168,1.1987,0.9701
8/1/2022,1.0129,1.1983,0.9574
9/1/2022,0.9899,1.132,0.9733
10/1/2022,0.9853,1.1332,0.9949
11/1/2022,1.0192,1.1727,0.966
12/1/2022,1.0591,1.218,0.9316
1/1/2023,1.0777,1.2237,0.9241
2/1/2023,1.0702,1.2084,0.9258
3/1/2023,1.0711,1.2138,0.9255
4/1/2023,1.0962,1.2446,0.8985
5/1/2023,1.0867,1.2484,0.8977
6/1/2023,1.084,1.2627,0.9004
7/1/2023,1.1067,1.2893,0.8723
8/1/2023,1.091,1.2706,0.8783
9/1/2023,1.0672,1.2381,0.8996
10/1/2023,1.0565,1.2175,0.9035
11/1/2023,1.0819,1.2437,0.8902
12/1/2023,1.0909,1.2657,0.8648
1/1/2024,1.0899,1.2701,0.8591
2/1/2024,1.0793,1.263,0.8771
3/1/2024,1.087,1.2713,0.8886
4/1/2024,1.0724,1.2517,0.9099
5/1/2024,1.081,1.2636,0.9088
6/1/2024,1.0763,1.2716,0.8938
7/1/2024,1.0847,1.287,0.8917
8/1/2024,1.102,1.2945,0.8579
9/1/2024,1.1104,1.3219,0.8472
10/1/2024,1.0895,1.3043,0.8613
11/1/2024,1.0621,1.2738,0.8809
12/1/2024,1.0472,1.2647,0.8916
1/1/2025,1.0356,1.2354,0.9096
2/1/2025,1.0413,1.2542,0.9034
3/1/2025,1.0813,1.2913,0.8836
4/1/2025,1.1232,1.3144,0.8337
5/1/2025,1.1274,1.3358,0.8299
6/1/2025,1.1534,1.3577,0.8132
7/1/2025,1.1671,1.3489,0.7989
8/1/2025,1.1647,1.3456,0.8058
9/1/2025,1.1739,1.3506,0.7961
10/1/2025,1.1641,1.3357,0.7975
11/1/2025,1.1558,1.3139,0.8037
12/1/2025,1.171,1.3387,0.7969
